Civilian_Casualties,Number_of_responding_personnel
0,4
0,4
0,22
0,22
0,22
0,25
0,22
0,71
0,20
0,4
0,4
0,21
0,26
0,21
0,21
0,4
0,25
0,22
0,23
0,4
0,4
0,4
0,22
0,22
0,11
0,21
0,24
0,8
0,8
0,8
0,4
0,4
0,4
0,4
0,4
0,20
0,4
0,4
0,4
0,4
0,4
0,10
0,28
0,22
0,83
0,22
0,14
0,21
0,22
0,4
0,8
0,33
0,4
0,4
0,51
0,3
0,4
0,22
0,4
0,4
0,23
0,21
0,36
0,30
0,24
0,4
0,22
0,8
0,34
0,20
0,17
0,20
0,22
0,17
0,22
0,24
0,25
0,25
0,22
0,54
0,22
1,23
0,21
0,21
0,10
0,17
0,14
0,4
0,33
0,4
0,4
0,22
0,4
0,17
0,17
0,1
0,4
0,4
1,69
0,55
1,53
0,25
2,35
0,36
0,43
0,23
0,22
0,34
0,30
0,27
0,21
0,23
0,4
0,18
0,35
0,20
0,4
0,4
0,3
0,20
0,22
0,55
0,32
0,21
0,22
0,25
0,25
0,20
0,22
0,3
0,21
0,4
0,4
0,4
0,21
0,10
0,4
0,4
0,24
0,21
0,4
0,21
0,4
0,4
0,15
0,34
0,4
0,21
0,4
0,22
1,23
0,4
0,14
0,18
0,53
0,4
0,38
0,19
0,4
0,24
0,23
0,23
0,21
0,18
0,33
0,4
0,4
0,10
0,4
0,4
0,21
0,4
2,29
0,22
1,54
0,23
0,4
0,42
0,52
0,7
0,4
0,22
0,8
0,4
0,4
0,10
0,21
0,21
0,21
0,4
0,22
0,4
1,23
0,157
0,24
0,16
0,21
1,25
0,21
0,7
0,35
0,4
0,4
0,4
0,4
0,4
0,4
0,4
1,4
0,10
0,4
0,4
0,20
0,4
0,4
0,20
0,21
0,4
0,4
0,21
0,4
0,20
0,21
0,16
0,22
0,21
0,20
0,4
2,26
0,20
4,75
0,23
0,29
0,21
0,55
0,21
0,4
0,4
0,3
0,19
1,25
0,22
0,21
0,8
0,20
0,4
0,18
0,13
0,25
0,33
0,27
0,33
0,55
0,37
1,75
0,17
0,22
0,22
0,53
0,42
0,4
0,25
0,4
0,4
0,4
0,4
0,79
0,4
0,4
0,19
0,21
0,17
0,17
0,4
0,4
0,16
0,4
0,4
0,4
0,4
0,4
0,26
0,20
0,4
0,26
0,65
0,22
0,4
0,8
0,35
0,4
0,4
0,17
0,52
0,53
0,4
0,113
0,43
0,8
0,23
0,4
0,4
0,4
0,4
0,59
0,70
0,21
0,26
0,42
0,4
0,4
0,4
0,4
0,38
0,17
0,21
0,4
0,33
0,18
0,42
1,25
1,82
0,21
0,21
0,4
0,6
1,21
0,56
0,21
0,20
0,30
1,37
0,46
0,21
0,4
0,35
0,21
0,8
0,4
0,19
1,26
0,15
0,4
0,59
0,4
0,42
0,4
0,28
0,4
0,4
0,8
0,22
0,60
0,22
0,20
0,4
0,4
0,8
0,42
0,26
0,37
0,3
0,4
0,57
0,33
0,4
0,21
0,4
0,4
0,24
0,56
0,25
0,4
0,4
0,8
0,22
0,7
0,25
0,22
0,4
0,18
0,7
0,4
0,10
0,21
0,4
0,20
0,4
0,4
0,21
0,21
0,8
0,42
0,21
0,28
0,4
0,4
0,4
0,4
0,4
0,11
0,4
0,7
0,8
0,22
0,21
0,4
0,33
1,21
0,37
0,15
0,4
0,4
0,12
0,4
0,8
0,7
0,15
0,20
1,35
0,17
0,4
0,4
0,23
0,21
0,53
0,19
0,18
0,59
1,22
0,10
0,24
0,21
0,17
0,52
0,27
0,22
0,21
0,4
0,20
0,21
0,4
0,22
0,21
0,8
1,37
0,26
0,7
0,4
0,35
0,4
0,4
0,4
0,39
0,3
0,4
0,4
0,22
0,61
0,14
0,10
0,21
0,4
0,24
0,4
0,21
0,22
0,4
0,28
0,4
0,20
0,4
0,33
0,27
0,4
0,4
0,11
0,4
0,22
0,25
0,19
0,51
0,4
0,4
0,21
0,4
0,4
0,3
0,8
0,21
0,159
0,21
0,17
0,18
0,4
1,53
0,21
0,28
0,21
1,4
0,21
0,57
0,8
0,20
0,21
0,96
0,21
0,18
0,21
0,22
0,4
0,4
0,7
0,4
0,4
0,16
0,20
0,4
0,4
0,4
0,18
0,10
0,4
0,4
0,4
0,4
0,4
0,23
0,22
2,37
0,20
0,10
0,12
0,6
0,4
0,90
0,3
0,28
0,4
0,4
0,4
0,23
0,18
0,11
0,4
0,4
0,22
0,21
0,21
0,21
0,20
0,17
0,22
0,22
0,4
0,8
0,4
0,45
0,20
0,24
0,39
0,62
0,20
0,21
0,22
0,4
0,74
0,20
0,3
0,11
0,12
0,30
0,57
0,60
0,4
0,4
0,4
0,23
0,48
0,21
0,4
1,52
0,4
0,31
0,4
0,22
0,7
0,37
0,4
0,3
0,4
0,22
0,4
0,36
0,4
0,4
0,11
0,4
0,24
0,22
0,12
0,4
0,21
0,4
0,19
0,17
0,4
0,26
0,54
0,7
0,4
0,4
0,8
0,68
0,4
0,22
0,4
0,21
0,4
0,4
0,22
0,4
0,4
0,4
0,4
0,21
0,22
0,53
0,4
0,13
0,17
0,18
0,21
0,52
0,53
0,20
1,79
0,19
0,22
0,4
0,28
1,48
0,21
0,4
0,21
0,4
0,4
0,4
0,16
0,4
0,4
0,4
0,23
0,4
0,21
0,84
0,6
0,4
0,4
0,7
0,21
0,20
0,4
0,39
0,54
0,4
0,4
0,22
0,3
0,4
0,52
1,56
0,4
0,22
0,22
0,21
0,4
0,73
0,23
0,2
0,22
0,21
0,22
0,21
0,21
0,4
0,4
0,52
0,20
0,25
0,4
0,21
0,17
0,22
0,8
